"id","release_id","title","url","style"
39552,8717,"Funki Porcini - Poseathon (vinyl)","https://www.youtube.com/watch?v=wUB2dFex5qo","Downtempo"
39555,8717,"Funki Porcini - King Ashabanapal Pt. 1 (vinyl)","https://www.youtube.com/watch?v=WrCpv3oyMxA","Breaks"
39552,8717,"Funki Porcini - Poseathon (vinyl)","https://www.youtube.com/watch?v=wUB2dFex5qo","Breaks"
39555,8717,"Funki Porcini - King Ashabanapal Pt. 1 (vinyl)","https://www.youtube.com/watch?v=WrCpv3oyMxA","Future Jazz"
39552,8717,"Funki Porcini - Poseathon (vinyl)","https://www.youtube.com/watch?v=wUB2dFex5qo","Future Jazz"
39555,8717,"Funki Porcini - King Ashabanapal Pt. 1 (vinyl)","https://www.youtube.com/watch?v=WrCpv3oyMxA","Trip Hop"
39552,8717,"Funki Porcini - Poseathon (vinyl)","https://www.youtube.com/watch?v=wUB2dFex5qo","Trip Hop"
40105,8859,"Funky Music Sho Nuff Turns Me On - Utah Saints - Two","https://www.youtube.com/watch?v=w1oi7ghKUKc","Trance"
40105,8859,"Funky Music Sho Nuff Turns Me On - Utah Saints - Two","https://www.youtube.com/watch?v=w1oi7ghKUKc","Breaks"
40105,8859,"Funky Music Sho Nuff Turns Me On - Utah Saints - Two","https://www.youtube.com/watch?v=w1oi7ghKUKc","Synth-pop"
40827,9042,"klubbheads - sunday shoutin","https://www.youtube.com/watch?v=E5z1nA54rRo","House"
40827,9042,"klubbheads - sunday shoutin","https://www.youtube.com/watch?v=E5z1nA54rRo","Deep House"
40827,9042,"klubbheads - sunday shoutin","https://www.youtube.com/watch?v=E5z1nA54rRo","Garage House"
40978,9077,"Jamiroquai - Too Young to Die (Official Music Video)","https://www.youtube.com/watch?v=mjeWKssl8Ic","Acid Jazz"
40978,9077,"Jamiroquai - Too Young to Die (Official Music Video)","https://www.youtube.com/watch?v=mjeWKssl8Ic","Soul"
41352,9118,"PLANET SOUL - SET U FREE (Mars Mix)","https://www.youtube.com/watch?v=LBTFq8O-dqs","House"
41352,9118,"PLANET SOUL - SET U FREE (Mars Mix)","https://www.youtube.com/watch?v=LBTFq8O-dqs","Tech House"
41969,9240,"Set Robin Jaydee Albers at the 4th Streamin Music/First Impression Labelnight","https://www.youtube.com/watch?v=fK8TN9Xb8Fg","House"
42652,9412,"Bjorn - Inside My Soul","https://www.youtube.com/watch?v=Ur5K4jrPR1k","Drum n Bass"
43267,9574,"The Dining Rooms - Sei Tu","https://www.youtube.com/watch?v=ZIRdgOeEpz0","Downtempo"
43267,9574,"The Dining Rooms - Sei Tu","https://www.youtube.com/watch?v=ZIRdgOeEpz0","Trip Hop"
43267,9574,"The Dining Rooms - Sei Tu","https://www.youtube.com/watch?v=ZIRdgOeEpz0","Ambient"
43281,9576,"Dan Curtin - Matter of Sound (Peacefrog) 1995","https://www.youtube.com/watch?v=1VoWqPXUKBA","Techno"
43334,9586,"Souldoubt - Shufflers Delight","https://www.youtube.com/watch?v=ULbeKuZWFXA","Deep House"
43721,9718,"LTJ presents Logical Progression (CD-A mix by JoPublic, 1996) Intelligent DnB CUT4YT","https://www.youtube.com/watch?v=T2ZT7F1LUjU","Drum n Bass"
44966,10025,"Little Computer People ‎– Eyes","https://www.youtube.com/watch?v=JhljWunVKZI","Electro"
44966,10025,"Little Computer People ‎– Eyes","https://www.youtube.com/watch?v=JhljWunVKZI","Synth-pop"
45081,10055,"Anorak - Warning","https://www.youtube.com/watch?v=m4Vz_Xn5GQo","Techno"
45236,10098,"Bugge WESSELTOFT My street (1996)","https://www.youtube.com/watch?v=GnCSrfrSSec","Future Jazz"
45236,10098,"Bugge WESSELTOFT My street (1996)","https://www.youtube.com/watch?v=GnCSrfrSSec","Jazzdance"
45236,10098,"Bugge WESSELTOFT My street (1996)","https://www.youtube.com/watch?v=GnCSrfrSSec","Experimental"
