audio_track,target,estimated_similarity,zcr_similarity,rhythm_similarity,chroma_similarity,energy_envelope_similarity,spectral_contrast_similarity,perceptual_similarity,swass
tracks/03. Frozen (William Ørbit Drumapella).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9901654818041038,0.5392482298843804,0.6824911832809448,0.5045364961947688,0.879570714563908,0.5713927004028533,0.6950702401503243
tracks/Verdé Sative _– Positive Cult (P-Gressive Mix).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9867138085740461,0.5407088960006786,0.7214743793010712,0.5098550674229521,0.8735152133098958,0.5597044875314885,0.7000573423547416
tracks/18 Vendetta.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9516632413355952,0.5481618730036637,0.7026527225971222,0.49923634449607757,0.8737489023241403,0.6280220114701222,0.7033984943633226
tracks/1. bliss inc. - hacking the planet.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9908817983792855,0.5452966495529051,0.7824162095785141,0.5074268423958112,0.89116622802671,0.5666256306965567,0.7169033646837044
tracks/Storm - Time To Burn.aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9950084409243005,0.5356390086177801,0.743821918964386,0.4993752882483534,0.8842000185976081,0.5684575219904515,0.7069429087839798
tracks/b2 - Leo Pol - You Got The Funk.aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9904925496365751,0.5415211782374484,0.7224108278751373,0.5102381686511012,0.8758808224340665,0.567795782296126,0.7030559667175742
tracks/B2  M.A.D. - Free (Friction & Spice's Bassline Mix).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9851326178637934,0.5408812571412399,0.7467433214187622,0.5072733451503249,0.897196954834449,0.5610865739988953,0.7072157840830157
tracks/2-04. Tooth Paste - Play Off (Original Mix).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9703645981992088,0.5344570429721468,0.6756812632083893,0.5084479721701313,0.8788494494978347,0.574036752055862,0.6896376734539179
tracks/09 - Instant Funk - I Got My Mind Made Up (Special 12'' Disco Mix).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9493126252120858,0.5409805698199315,0.7580621689558029,0.5041684340723163,0.9064734392581372,0.5662105378475847,0.7039773677001264
tracks/Soylent Green - A1.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9529957829764317,0.5354247908448193,0.6877363622188568,0.5011770879993694,0.9282376081604453,0.557170533114877,0.6896069634469784
